Unnamed: 0,outcome,ss-1,ts-1,knocks-1,tkd-lnd-1,tkd-att-1,sub-att-1,h-tar-1,b-tar-1,l-tar-1,dist-pos-1,clinch-pos-1,ground-pos-1,r1-ts-1,r1-ss-1,r2-ts-1,r2-ss-1,r3-ts-1,r3-ss-1,r4-ts-1,r4-ss-1,r5-ts-1,r5-ss-1,r1-td-1,r2-td-1,r3-td-1,r4-td-1,r5-td-1,r1-kd-1,r2-kd-1,r3-kd-1,r4-kd-1,r5-kd-1,age-1,height-1,weight-1,reach-1,leg_reach-1,ranking-1,ss-2,ts-2,knocks-2,tkd-lnd-2,tkd-att-2,sub-att-2,h-tar-2,b-tar-2,l-tar-2,dist-pos-2,clinch-pos-2,ground-pos-2,r1-ts-2,r1-ss-2,r2-ts-2,r2-ss-2,r3-ts-2,r3-ss-2,r4-ts-2,r4-ss-2,r5-ts-2,r5-ss-2,r1-td-2,r2-td-2,r3-td-2,r4-td-2,r5-td-2,r1-kd-2,r2-kd-2,r3-kd-2,r4-kd-2,r5-kd-2,age-2,height-2,weight-2,reach-2,leg_reach-2,ranking-2
3750,0,1,1,0,0,0.0,0,0,1,0,0,1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,185.6,77.5,40.0,1427.3075042306689,41,53,0,1,,1,37,3,1,1,2,38,59,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,73.0,170.5,77.5,46.5,1376.2662255706955
3751,0,54,73,0,0,0.0,0,42,11,1,41,5,8,33,18,42.0,19.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,75.0,185.5,75.0,41.5,1060.424042382816,56,63,1,0,,0,30,9,17,48,4,4,40,13,68.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,72.0,206.0,75.0,40.0,1836.7102295660893
3752,1,56,86,0,3,6.0,0,46,7,3,20,4,32,48,28,26.0,14.0,33.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,67.0,145.0,71.0,38.0,1520.8302879033486,56,71,0,0,0.0,1,49,7,0,31,4,21,23,11,42.0,24.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,70.0,145.5,72.5,42.0,1278.623143547719
3753,0,10,22,0,0,0.0,0,5,2,3,9,0,1,21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86253008825889,70.02935276811982,166.20581706338595,71.88410232266165,40.14344005021971,1637.9292519388412,35,44,2,0,,0,25,8,2,16,5,14,42,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,76.0,202.0,82.5,45.5,1190.0194294994374
3754,0,41,46,0,1,2.0,0,30,10,1,36,3,2,23,16,48.0,22.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86253008825889,70.02935276811982,166.20581706338595,71.88410232266165,40.14344005021971,1637.9292519388412,86,121,0,2,4.0,0,74,8,4,38,13,35,65,36,61.0,35.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24351407000686,69.94344543582704,165.40860672614966,71.74353448275862,40.03962201591512,1536.8600402120562
3755,1,290,307,0,1,1.0,0,244,41,5,281,8,1,84,40,126.0,66.0,84.0,50.0,196.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,71.0,155.0,69.0,42.0,2814.052296434763,110,112,0,2,2.0,0,87,16,7,101,9,0,65,19,92.0,33.0,81.0,30.0,54.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,68.0,153.0,69.0,39.0,1405.9292475882623
3756,1,89,118,0,5,13.0,0,50,16,23,65,16,8,21,11,43.0,21.0,38.0,19.0,33.0,18.0,56.0,20.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,65.0,124.6,67.0,38.0,2269.3946282206584,78,124,0,0,0.0,0,12,44,22,59,19,0,40,15,54.0,10.0,56.0,16.0,41.0,17.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,66.0,116.0,65.5,35.0,1996.1028814375031
3757,0,36,52,0,0,0.0,0,27,6,3,3,9,24,40,30,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,71.0,170.0,76.5,43.0,1701.458965042801,11,20,0,2,,1,10,1,0,1,1,9,2,2,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,71.0,170.0,72.0,39.5,2056.313929668273
3758,1,103,103,0,0,0.0,0,51,35,17,99,4,0,53,25,81.0,31.0,78.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,68.0,146.0,73.5,40.5,1639.4696874316385,42,47,0,2,,0,27,4,11,37,3,2,26,10,32.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,67.0,145.0,70.0,38.5,1295.4831675758196
3759,0,27,30,0,0,0.0,0,15,12,0,8,17,2,36,26,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,73.0,205.0,79.5,43.0,1315.6544883832585,42,65,2,1,,0,27,13,2,20,22,0,55,33,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,74.0,206.0,76.0,42.5,1979.0728182740609
